Name,PTS,Collage,Latitude,Longitude
Toure' Murry,6,Wichita State University,37.71934295,-97.28988783173023
Trevor Ariza,1048,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Trevor Booker,567,Clemson University,34.66869155,-82.83743475607795
Trey Burke,973,University of Michigan,42.2942142,-83.71003893509601
Troy Daniels,176,Virginia Commonwealth University,37.546124649999996,-77.45406089907547
Ty Lawson,1143,University of North Carolina,35.90503535,-79.04775326525107
Tyler Ennis,121,Syracuse University,43.017112850000004,-76.11855360009726
Tyler Hansbrough,270,University of North Carolina,35.90503535,-79.04775326525107
Tyler Johnson,190,"California State University, Fresno",36.820996300000004,-119.73729762569181
Tyreke Evans,1313,University of Memphis,35.1189387,-89.93721959965887
Udonis Haslem,261,University of Florida,29.6328837,-82.34901302237435
Vander Blue,22,Marquette University,43.03888115,-87.93158327046632
Victor Oladipo,1292,Indiana University,39.1802358,-86.50935262731483
Vince Carter,384,University of North Carolina,35.90503535,-79.04775326525107
Wayne Ellington,650,University of North Carolina,35.90503535,-79.04775326525107
Wesley Johnson,753,Syracuse University,43.017112850000004,-76.11855360009726
Wesley Matthews,956,Marquette University,43.03888115,-87.93158327046632
Will Barton,397,University of Memphis,35.1189387,-89.93721959965887
Will Bynum,22,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Will Cherry,15,University of Montana,46.8541841,-113.96552830266285
Willie Green,306,University of Detroit Mercy,42.41403185,-83.13786010722785
Wilson Chandler,1085,DePaul University,41.8773621,-87.62687131474075
Xavier Henry,20,University of Kansas,38.953491799999995,-95.26308879955823
Zach LaVine,778,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Zach Randolph,1143,Michigan State University,42.70237935,-84.48038686520441
